Time (min),[Br] mM
0,0.00512
0.75,0.05179
1.5,0.2055
2.25,0.46155
3,0.69351
3.75,0.83472
4.5,0.91165
5.25,0.95271
6,0.91567
6.75,0.95
7.5,0.97822
8.25,0.98
9,0.99
9.75,1
10.5,0.97392
11.25,1
12,0.98254
12.75,0.99
13.5,0.98
14.25,1
15,1
15.75,1
16.5,1
17.25,1
18,1
18.75,1
19.5,0.98
20.25,0.99
21,1
21.75,1
22.5,1
23.25,1
24,0.99
24.75,1
25.5,1
26.25,1
27,1
27.75,0.98
28.5,1
29.25,1
30,1
30.75,0.98
31.5,1
32.25,1
33,1
33.75,0.99
34.5,1
35.25,1
36,1
36.75,0.99
37.5,1
38.25,1
39,1
39.75,1
40.5,0.98
41.25,1
42,1
42.75,0.98
43.5,1
44.25,1
45,1
45.75,0.99
46.5,1
47.25,1
48,1
48.75,0.98
49.5,1
50.25,1
51,0.99
51.75,1
52.5,1
53.25,0.99
54,1
54.75,1
55.5,0.99
56.25,1
57,1
57.75,1
58.5,0.98
59.25,1
60,1
60.75,1
61.5,1
62.25,1
63,1
63.75,1
64.5,0.98
65.25,1
66,1
66.75,1
67.5,0.98
68.25,1
69,1
69.75,1
70.5,1
71.25,0.99
72,1
72.75,0.98254
73.5,1
74.25,0.96114
75,0.98254
75.75,0.97392
76.5,0.81652
77.25,0.70276
78,0.4636
78.75,0.24716
79.5,0.12167
80.25,0.06831
81,0.01506
81.75,0.02242
82.5,0.01574
83.25,0.009
84,0.00669
84.75,0.004
85.5,0.00652
86.25,0.004
87,0.002
87.75,0.001
88.5,0
89.25,0.002
90,0
90.75,0
91.5,0
92.25,0.001
93,0
93.75,0
94.5,0
95.25,0.002
96,0
96.75,0
97.5,0
98.25,0
99,0
99.75,0
100.5,0
101.25,0
102,0
102.75,0
103.5,0
104.25,0
105,0
105.75,0
106.5,0
107.25,0
108,0.002
108.75,0
109.5,0
110.25,0
111,0
111.75,0.001
112.5,0
113.25,0
114,0
114.75,0.001
115.5,0
116.25,0
117,0
117.75,0.001
118.5,0
119.25,0
120,0
120.75,0
121.5,0
122.25,0
123,0.001
123.75,0
124.5,0
125.25,0
126,0
126.75,0
127.5,0
128.25,0.001
129,0
129.75,0
130.5,0
131.25,0
132,0
132.75,0
133.5,0
134.25,0
135,0
